# 04 ballistic 270 (Up to date)
# 1387 data points written for 5 variables.
# Simulation warnings:
#   Thick fins may not be modeled accurately.
#   Body calculations may not be entirely accurate at supersonic speeds.
#
# Time (s),Altitude (m),Total velocity (m/s),Position East of launch (m),Position North of launch (m)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,0,0
0.01,3.972e-4,0.11235,3.3685e-4,2.1048e-4
0.02,0.002874,0.58823,0.0024373,0.001523
0.03,0.010002,1.428,0.0084822,0.0053003
# Event LIFTOFF occurred at t=0.04 seconds
0.04,0.024355,2.6318,0.020654,0.012906
0.05,0.048123,4.0908,0.04081,0.025501
0.06,0.082566,5.6516,0.07002,0.043753
0.07,0.12808,7.2228,0.10862,0.067874
0.08,0.18474,8.8016,0.15667,0.097896
0.09,0.25258,10.388,0.2142,0.13385
0.1,0.33167,11.982,0.28127,0.17576
0.11,0.42205,13.58,0.35792,0.22365
0.12,0.52371,15.175,0.44413,0.27752
0.13,0.63664,16.768,0.5399,0.33737
0.14,0.76083,18.358,0.64522,0.40318
0.15,0.89625,19.946,0.76007,0.47494
0.16,1.0429,21.531,0.88442,0.55265
0.17,1.2007,23.113,1.0183,0.63629
0.18,1.3698,24.693,1.1616,0.72586
0.19,1.5499,26.27,1.3144,0.82134
0.2,1.7413,27.847,1.4767,0.92273
0.21,1.9438,29.424,1.6484,1.03
0.22,2.1574,31.002,1.8296,1.1432
0.23,2.3822,32.581,2.0202,1.2624
0.24,2.6182,34.161,2.2203,1.3874
0.25,2.8653,35.741,2.4299,1.5184
0.26,3.1236,37.322,2.649,1.6553
0.27,3.3931,38.904,2.8775,1.7981
0.28,3.6738,40.486,3.1156,1.9468
0.29,3.9657,42.07,3.3631,2.1015
# Event LAUNCHROD occurred at t=0.3 seconds
0.3,4.2688,43.654,3.6201,2.2621
0.315,4.7438,46.031,4.024,2.5144
0.3375,5.5015,49.601,4.6717,2.919
0.37125,6.7398,54.962,5.738,3.5847
0.42125,8.799,62.926,7.5266,4.7008
0.47125,11.128,70.929,9.5655,5.9725
0.52125,13.728,78.974,11.856,7.4007
0.57125,16.6,87.058,14.398,8.9861
0.62125,19.747,95.18,17.193,10.73
0.67125,23.17,103.34,20.241,12.632
0.72125,26.871,111.54,23.543,14.695
0.77125,30.852,119.78,27.1,16.919
0.82125,35.114,128.05,30.911,19.306
0.87125,39.658,136.35,34.976,21.858
0.92125,44.486,144.7,39.297,24.576
0.97125,49.6,153.07,43.872,27.462
1.0213,55,161.49,48.703,30.518
1.0713,60.688,169.95,53.791,33.748
1.1213,66.664,178.46,59.135,37.154
1.1713,72.928,187.02,64.737,40.738
1.2213,79.482,195.62,70.6,44.503
1.2713,86.325,204.26,76.725,48.452
1.3213,93.456,212.95,83.115,52.587
1.3713,100.88,221.67,89.774,56.91
1.4213,108.58,230.44,96.703,61.421
1.4713,116.57,239.25,103.91,66.121
1.5213,124.85,248.1,111.39,71.009
1.5713,133.42,256.98,119.15,76.086
1.6213,142.28,265.89,127.2,81.349
1.6713,151.42,274.84,135.53,86.798
1.7213,160.86,283.82,144.15,92.432
1.7713,170.58,292.83,153.06,98.252
1.8213,180.61,301.86,162.25,104.26
1.8713,190.94,310.9,171.72,110.46
1.9213,201.56,319.98,181.47,116.84
1.9713,212.48,329.07,191.5,123.43
2.0213,223.7,338.19,201.81,130.21
2.0713,235.22,347.34,212.41,137.19
2.1213,247.03,356.51,223.31,144.37
2.1713,259.13,365.71,234.5,151.74
2.2213,271.52,374.93,245.99,159.31
2.2713,284.21,384.13,257.77,167.07
2.3212,297.2,393.31,269.84,175.02
2.3712,310.49,402.49,282.2,183.17
2.4212,324.08,411.65,294.84,191.52
2.4712,337.97,420.8,307.78,200.07
2.5212,352.14,429.93,321,208.82
2.5712,366.6,439.05,334.52,217.76
2.6212,381.36,448.16,348.34,226.89
2.6712,396.41,457.24,362.44,236.22
2.7212,411.75,466.31,376.82,245.75
2.7712,427.38,475.36,391.5,255.47
2.8212,443.3,484.4,406.46,265.39
2.8712,459.5,493.41,421.72,275.5
2.9212,475.99,502.4,437.26,285.81
2.9712,492.77,511.34,453.09,296.31
3.0212,509.83,520.21,469.21,307
3.0712,527.17,529.03,485.61,317.88
3.1212,544.79,537.78,502.29,328.96
3.1712,562.68,546.47,519.25,340.22
3.2212,580.85,555.1,536.49,351.67
3.2712,599.29,563.67,554.01,363.31
3.3212,618,572.19,571.8,375.14
3.3712,636.98,580.63,589.86,387.15
3.4212,656.22,589.02,608.19,399.34
3.4712,675.73,597.34,626.79,411.72
3.5212,695.5,605.59,645.66,424.27
3.5712,715.52,613.79,664.79,437.01
3.6212,735.8,621.92,684.19,449.92
3.6712,756.33,629.98,703.85,463.02
3.7212,777.11,637.75,723.77,476.28
3.7712,798.13,645.15,743.93,489.72
3.8212,819.37,652.18,764.32,503.31
3.8712,840.83,658.83,784.94,517.05
3.9212,862.48,665.1,805.76,530.94
3.9712,884.32,670.99,826.79,544.96
4.0212,906.34,676.5,848,559.12
4.0712,928.51,681.64,869.39,573.39
4.1212,950.83,686.39,890.95,587.77
4.1712,973.29,690.76,912.65,602.25
4.2212,995.88,694.87,934.5,616.84
4.2712,1018.6,698.85,956.48,631.51
4.3212,1041.4,702.69,978.6,646.28
4.3712,1064.3,706.39,1000.8,661.13
4.4212,1087.4,709.96,1023.2,676.06
4.4712,1110.5,713.39,1045.7,691.08
4.5212,1133.7,716.65,1068.3,706.17
4.5712,1157,719.57,1091,721.34
4.6212,1180.4,722.13,1113.8,736.57
4.6712,1203.9,724.34,1136.7,751.86
4.7212,1227.4,726.19,1159.7,767.2
4.7712,1250.9,727.69,1182.7,782.59
4.8212,1274.5,728.82,1205.8,798.01
4.8712,1298.1,729.6,1228.9,813.45
4.9212,1321.7,730.08,1252,828.92
4.9712,1345.3,730.38,1275.2,844.4
5.0212,1368.9,730.5,1298.4,859.89
5.0712,1392.4,730.44,1321.6,875.39
5.1212,1416,730.2,1344.8,890.9
5.1712,1439.5,729.78,1368,906.4
5.2212,1463,729.19,1391.2,921.9
5.2712,1486.5,728.42,1414.3,937.39
5.3212,1509.9,727.48,1437.5,952.87
5.3712,1533.3,726.36,1460.6,968.34
5.4212,1556.6,725.08,1483.8,983.78
5.4712,1579.9,723.61,1506.8,999.21
5.5212,1603,721.99,1529.9,1014.6
5.5712,1626.2,720.25,1552.9,1030
5.6212,1649.2,718.38,1575.8,1045.3
5.6712,1672.2,716.39,1598.7,1060.6
5.7212,1695.1,714.29,1621.6,1075.9
5.7712,1717.9,712.06,1644.4,1091.1
5.8212,1740.6,709.71,1667.1,1106.3
5.8712,1763.3,707.25,1689.8,1121.4
5.9168,1783.8,704.89,1710.3,1135.2
5.9668,1806.3,702.19,1732.9,1150.2
6.0168,1828.6,699.37,1755.3,1165.2
6.0668,1850.8,696.43,1777.7,1180.1
6.1168,1873,693.37,1799.9,1195
6.1668,1895,690.18,1822.1,1209.8
6.2168,1916.9,686.82,1844.2,1224.6
6.2668,1938.6,683.29,1866.2,1239.3
6.3168,1960.3,679.59,1888.1,1253.9
# Event BURNOUT occurred at t=6.3668 seconds
# Event EJECTION_CHARGE occurred at t=6.3668 seconds
6.3668,1981.8,675.79,1909.9,1268.4
6.4168,2003.1,672.04,1931.6,1282.9
6.4668,2024.4,668.32,1953.1,1297.3
6.5168,2045.5,664.64,1974.6,1311.6
6.5668,2066.4,660.99,1996,1325.9
6.6168,2087.3,657.38,2017.2,1340
6.6668,2108,653.81,2038.3,1354.1
6.7168,2128.5,650.27,2059.4,1368.2
6.7668,2149,646.77,2080.3,1382.1
6.8168,2169.3,643.3,2101.1,1396
6.8668,2189.5,639.87,2121.9,1409.8
6.9168,2209.6,636.47,2142.5,1423.6
6.9668,2229.5,633.1,2163.1,1437.3
7.0168,2249.4,629.76,2183.5,1450.9
7.0668,2269.1,626.46,2203.8,1464.5
7.1042,2283.7,624.02,2219,1474.6
7.1542,2303.2,620.77,2239.2,1488
7.1847,2315.1,618.79,2251.4,1496.2
7.2185,2328.1,616.63,2265,1505.2
